id_1,id_2,true_ged
0,2,0
0,3,0
0,6,0
0,17,0
0,24,0
0,29,0
0,32,9
0,39,0
0,49,0
0,58,0
0,85,0
0,88,0
0,93,0
0,103,0
0,104,4
0,113,0
0,121,8
0,134,9
0,171,9
0,176,0
0,177,0
0,183,0
0,184,8
0,202,0
0,216,0
0,221,0
0,233,0
0,234,0
0,242,0
0,245,0
0,246,0
0,252,0
0,254,0
0,265,0
0,276,0
0,280,0
0,285,0
0,296,0
0,303,0
0,304,0
0,305,0
0,306,0
0,307,0
0,309,0
0,314,0
0,335,0
0,338,0
0,347,0
0,365,0
0,366,0
0,373,0
0,381,0
0,383,0
0,387,0
0,388,0
0,392,0
0,395,0
0,409,0
0,411,0
0,412,0
0,419,0
0,439,0
0,447,0
0,451,0
0,454,8
0,457,0
0,459,0
0,462,0
0,475,0
0,483,0
0,487,0
0,489,0
0,504,0
0,510,0
0,516,0
0,519,0
0,520,0
0,521,0
0,522,0
0,528,0
0,532,0
0,538,0
0,539,0
0,541,0
0,543,0
0,545,0
0,551,0
0,552,0
0,559,9
0,560,0
0,564,0
0,569,0
0,573,0
0,581,0
0,584,0
0,585,0
0,591,9
0,593,0
0,596,0
0,597,4
0,608,0
0,612,0
0,615,0
0,618,0
0,621,0
0,625,0
0,631,0
0,632,0
0,634,0
0,637,0
0,648,0
0,649,0
0,657,0
0,658,0
0,665,0
0,667,0
0,674,0
0,676,0
0,684,0
0,687,0
0,688,0
0,691,0
0,695,0
0,697,0
0,698,0
0,700,0
0,712,0
0,713,0
0,714,0
0,719,0
0,720,0
0,725,0
0,733,0
0,734,0
0,751,0
0,756,0
0,769,0
0,777,0
0,780,0
0,782,0
0,784,9
0,788,0
0,791,0
0,794,0
0,795,0
0,798,0
0,803,0
0,804,0
0,807,0
0,809,0
0,813,0
0,816,0
0,818,0
0,822,0
0,832,0
0,835,0
0,840,0
0,841,0
0,847,0
0,852,0
0,853,0
0,857,0
0,859,0
0,871,0
0,878,0
0,881,0
0,891,0
0,892,0
0,897,0
0,907,0
0,910,0
0,914,0
0,922,0
0,927,0
0,929,0
0,931,0
0,933,0
0,935,0
0,949,0
0,952,3
0,955,0
0,964,0
0,967,0
0,968,0
0,969,0
0,983,0
0,986,0
0,989,0
0,995,0
0,997,0
0,998,0
0,1010,1
0,1023,0
0,1024,0
0,1029,0
0,1030,0
0,1031,0
0,1045,0
0,1047,0
0,1050,0
0,1052,2
0,1054,0
0,1081,0
0,1106,2
0,1117,0
0,1118,0
0,1119,0
0,1127,0
0,1132,0
0,1153,0
0,1155,0
0,1163,0
0,1172,0
0,1182,9
0,1184,0
0,1187,0
0,1196,0
0,1200,0
0,1204,0
0,1215,0
0,1220,0
0,1226,0
0,1228,0
0,1233,0
0,1256,0
0,1259,0
0,1261,0
0,1263,0
0,1265,0
0,1268,0
0,1271,0
0,1273,0
0,1279,0
0,1284,0
0,1298,0
0,1317,0
0,1320,0
0,1328,0
0,1333,4
0,1335,0
0,1337,0
0,1338,0
0,1339,0
0,1341,0
0,1347,0
0,1348,9
0,1355,0
0,1373,0
0,1374,0
0,1377,0
0,1378,0
0,1385,0
0,1393,0
0,1399,0
0,1408,0
0,1416,0
0,1419,0
